Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Lily021008,xxx .,Lily,0.0,0.396,[],[],[],,,,,,,,,,MotherofLily_Lily021008_1
2,Lily,Lily021008,who ?,Lily,0.395,1.101,[],[1|0|INCROOT 2|1|PUNCT],[pro:rel|who ?],,,,,,,,,,LilyofLily_Lily021008_2
3,Mother,Lily021008,what babies do we know ?,Lily,1.101,2.301,[],[1|5|LINK] [2|5|SUBJ] [3|5|AUX] [4|5|SUBJ] [5|0|ROOT 6|5|PUNCT],[pro:int|what] [n|baby-PL] [mod|do] [pro:sub|we] [v|know ?],,,,,,,,,,MotherofLily_Lily021008_3
4,Lily,Lily021008,what babies ?,Lily,2.303,4.928,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[pro:int|what] [n|baby-PL ?],,,,,,,,,,LilyofLily_Lily021008_4
5,Mother,Lily021008,well does Gabby have a baby in her house ?,Lily,4.928,8.425,[],[1|4|COM] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|6|DET] [6|4|OBJ] [7|6|NJCT] [8|9|MOD] [9|7|POBJ 10|4|PUNCT],[co|well] [mod|do&3S] [n:prop|Gabby] [v|have] [det:art|a] [n|baby] [prep|in] [det:poss|her] [n|house ?],,,,,,,,,,MotherofLily_Lily021008_5
6,Lily,Lily021008,yep (replacement:replacement:yes) .,Lily,8.426,9.703,[],[1|0|INCROOT 2|1|PUNCT],[co|yes .],,,,,,,,,,LilyofLily_Lily021008_6
7,Mother,Lily021008,what's his name ?,Lily,9.703,10.593,[],[1|2|SUBJ 2|0|ROOT] [3|4|MOD] [4|2|PRED 5|2|PUNCT],[pro:int|what~cop|be&3S] [det:poss|his] [n|name ?],,,,,,,,,,MotherofLily_Lily021008_7
8,Lily,Lily021008,what's his name ?,Lily,10.593,11.858,[],[1|2|SUBJ 2|0|ROOT] [3|4|MOD] [4|2|PRED 5|2|PUNCT],[pro:int|what~cop|be&3S] [det:poss|his] [n|name ?],,,,,,,,,,LilyofLily_Lily021008_8
9,Mother,Lily021008,what's Gabby's baby brother's name ?,Lily,11.858,13.783,[],[1|8|LINK 2|8|AUX] [3|8|MOD 4|3|POSS] [5|8|MOD] [6|8|MOD 7|6|POSS] [8|0|INCROOT 9|8|PUNCT],[pro:int|what~aux|be&3S] [n:prop|Gabby~poss|s] [n|baby] [n|brother~poss|s] [n|name ?],,,,,,,,,,MotherofLily_Lily021008_9
10,Lily,Lily021008,hm: .,Lily,13.783,15.425,[],[1|0|INCROOT 2|1|PUNCT],[co|hm .],,,,,,,,,,LilyofLily_Lily021008_10
