Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Violet020110,"okay , it's ready , we can turn this off now .",Violet,13.116,16.645,[],[1|4|COM 2|1|LP] [3|4|SUBJ 4|0|ROOT] [5|4|PRED 6|4|LP] [7|9|SUBJ] [8|9|AUX] [9|4|CJCT] [10|9|OBJ] [11|9|JCT] [12|11|POBJ 13|4|PUNCT],[co|okay cm|cm] [pro:per|it~cop|be&3S] [adj|ready cm|cm] [pro:sub|we] [mod|can] [v|turn] [pro:dem|this] [prep|off] [adv|now .],,,,,,,,,,MotherofViolet_Violet020110_1
2,Mother,Violet020110,should we shut this off ?,Violet,16.645,17.725,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|3|JCT 6|3|PUNCT],[mod|should] [pro:sub|we] [v|shut&ZERO] [pro:dem|this] [prep|off ?],,,,,,,,,,MotherofViolet_Violet020110_2
3,Violet,Violet020110,yyy .,Violet,17.725,18.94,[],[],[],,,,,,,,,,VioletofViolet_Violet020110_3
4,Mother,Violet020110,what do you think about that show ?,Violet,18.94,20.88,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|4|JCT] [6|7|DET] [7|5|POBJ 8|4|PUNCT],[pro:int|what] [mod|do] [pro:per|you] [v|think] [prep|about] [pro:dem|that] [n|show ?],,,,,,,,,,MotherofViolet_Violet020110_4
5,Violet,Violet020110,good .,Violet,20.88,22.428,[],[1|0|INCROOT 2|1|PUNCT],[adj|good .],,,,,,,,,,VioletofViolet_Violet020110_5
6,Mother,Violet020110,good .,Violet,22.426,23.131,[],[1|0|INCROOT 2|1|PUNCT],[adj|good .],,,,,,,,,,MotherofViolet_Violet020110_6
7,Violet,Violet020110,yyy .,Violet,23.131,23.618,[],[],[],,,,,,,,,,VioletofViolet_Violet020110_7
8,Mother,Violet020110,maybe later you can watch teletubbies .,Violet,23.619,25.565,[],[1|2|JCT] [2|5|JCT] [3|5|SUBJ] [4|5|AUX] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[adv|maybe] [adv|later] [pro:per|you] [mod|can] [v|watch] [n|teletubbie-PL .],,,,,,,,,,MotherofViolet_Violet020110_8
9,Violet,Violet020110,yyy .,Violet,25.565,27.106,[],[],[],,,,,,,,,,VioletofViolet_Violet020110_9
10,Mother,Violet020110,right now we'll do something else because we're gonna put this tape on .,Violet,27.107,30.23,[],[1|2|JCT] [2|5|JCT] [3|5|SUBJ 4|5|AUX] [5|12|SUBJ] [6|5|OBJ] [7|6|PQ] [8|10|LINK] [9|10|SUBJ 10|12|AUX] [11|12|AUX] [12|0|ROOT] [13|14|DET] [14|12|OBJ] [15|12|JCT 16|12|PUNCT],[adv|right] [adv|now] [pro:sub|we~mod|will] [v|do] [pro:indef|something] [post|else] [conj|because] [pro:sub|we~cop|be&PRES] [mod:aux|gonna] [v|put&ZERO] [pro:dem|this] [n|tape] [adv|on .],,,,,,,,,,MotherofViolet_Violet020110_10
11,Mother,Violet020110,okay ?,Violet,30.23,32.751,[],[1|0|INCROOT 2|1|PUNCT],[co|okay ?],,,,,,,,,,MotherofViolet_Violet020110_11
12,Violet,Violet020110,yyy yyy yyy yyy .,Violet,32.751,34.283,[],[],[],,,,,,,,,,VioletofViolet_Violet020110_12
13,Violet,Violet020110,hand in there .,Violet,34.285,35.68,[],[1|0|INCROOT] [2|1|JCT] [3|2|POBJ 4|1|PUNCT],[n|hand] [prep|in] [adv|there .],,,,,,,,,,VioletofViolet_Violet020110_13
14,Mother,Violet020110,"no , you don't need to put your hand there .",Violet,35.751,37.645,[],[1|6|COM 2|1|LP] [3|6|SUBJ] [4|6|AUX 5|4|NEG] [6|0|ROOT] [7|8|INF] [8|6|XCOMP] [9|10|MOD] [10|8|OBJ] [11|8|JCT 12|6|PUNCT],[co|no cm|cm] [pro:per|you] [mod|do~neg|not] [v|need] [inf|to] [v|put&ZERO] [det:poss|your] [n|hand] [adv|there .],,,,,,,,,,MotherofViolet_Violet020110_14
15,Mother,Violet020110,you can come over here if you want .,Violet,37.645,40.821,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT] [5|3|JCT] [6|8|LINK] [7|8|SUBJ] [8|3|CJCT 9|3|PUNCT],[pro:per|you] [0aux|can] [v|come] [adv|over] [adv|here] [conj|if] [pro:per|you] [v|want .],,,,,,,,,,MotherofViolet_Violet020110_15
16,Mother,Violet020110,you wanna do lacing ?,Violet,40.821,43.236,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[pro:per|you] [mod:aux|wanna] [v|do] [part|lace-PRESP ?],,,,,,,,,,MotherofViolet_Violet020110_16
17,Violet,Violet020110,yeah .,Violet,43.136,44.14,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,VioletofViolet_Violet020110_17
18,Mother,Violet020110,you know how to do it ?,Violet,44.14,45.325,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|5|INF] [5|3|XCOMP] [6|5|OBJ 7|2|PUNCT],[pro:per|you] [v|know] [adv:int|how] [inf|to] [v|do] [pro:per|it ?],,,,,,,,,,MotherofViolet_Violet020110_18
19,Violet,Violet020110,yeah .,Violet,45.125,45.815,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,VioletofViolet_Violet020110_19
20,Mother,Violet020110,"come here , I'll show you .",Violet,45.815,47.68,[],[1|0|ROOT] [2|1|JCT 3|1|LP] [4|6|SUBJ 5|6|AUX] [6|1|COMP] [7|6|OBJ 8|1|PUNCT],[v|come] [adv|here cm|cm] [pro:sub|I~mod|will] [v|show] [pro:per|you .],,,,,,,,,,MotherofViolet_Violet020110_20
21,Violet,Violet020110,yyy yyy yyy me ?,Violet,47.68,51.685,[],[] [] [] [1|0|INCROOT 2|1|PUNCT],[] [] [] [pro:obj|me ?],,,,,,,,,,VioletofViolet_Violet020110_21
