Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Lily030927a,xxx you were gonna be different flowers ?,Lily,4.02,6.015,[],[] [1|4|SUBJ] [2|4|AUX] [3|4|AUX] [4|0|ROOT] [5|6|MOD] [6|4|PRED 7|4|PUNCT],[] [pro:per|you] [aux|be&PAST] [mod:aux|gonna] [cop|be] [adj|different] [n|flower-PL ?],,,,,,,,,,MotherofLily_Lily030927a_1
2,Lily,Lily030927a,"no , we're gonna dress up .",Lily,6.015,8.376,[],[1|6|COM 2|1|LP] [3|6|SUBJ 4|6|AUX] [5|6|AUX] [6|0|ROOT] [7|6|JCT 8|6|PUNCT],[co|no cm|cm] [pro:sub|we~aux|be&PRES] [mod:aux|gonna] [v|dress] [adv|up .],,,,,,,,,,LilyofLily_Lily030927a_2
3,Mother,Lily030927a,oh you're gonna dress up as what ?,Lily,0.0,0.0,[],[1|5|COM] [2|5|SUBJ 3|5|AUX] [4|5|AUX] [5|0|ROOT] [6|5|JCT] [7|5|JCT] [8|7|POBJ 9|5|PUNCT],[co|oh] [pro:per|you~aux|be&PRES] [mod:aux|gonna] [v|dress] [adv|up] [prep|as] [pro:int|what ?],,,,,,,,,,MotherofLily_Lily030927a_3
4,Lily,Lily030927a,xxx .,Lily,8.376,9.836,[],[],[],,,,,,,,,,LilyofLily_Lily030927a_4
5,Lily,Lily030927a,as a rose and a hibiscus .,Lily,9.838,14.708,[],[1|3|COORD] [2|3|DET] [3|0|INCROOT] [4|3|CONJ] [5|6|MOD] [6|4|COORD 7|3|PUNCT],[prep|as] [det:art|a] [n|rose] [coord|and] [0det|a] [n|hibiscus .],,,,,,,,,,LilyofLily_Lily030927a_5
6,Mother,Lily030927a,a rose and a hibiscus .,Lily,0.0,0.0,[],[1|2|DET] [2|0|INCROOT] [3|2|CONJ] [4|5|DET] [5|3|COORD 6|2|PUNCT],[det:art|a] [n|rose] [coord|and] [det:art|a] [n|hibiscus .],,,,,,,,,,MotherofLily_Lily030927a_6
7,CameraOperator,Lily030927a,xxx .,Lily,0.0,0.0,laughs,[],[],,,,,,,,,,CameraOperatorofLily_Lily030927a_7
8,CameraOperator,Lily030927a,how bout (replacement:replacement:about) daisies and lilies ?,Lily,14.708,16.325,[],[1|0|INCROOT] [2|1|JCT] [3|2|POBJ] [4|3|CONJ] [5|4|COORD 6|1|PUNCT],[adv:int|how] [prep|about] [n|daisy-PL] [coord|and] [n|lily-PL ?],,,,,,,,,,CameraOperatorofLily_Lily030927a_8
9,Mother,Lily030927a,that's right .,Lily,16.325,17.861,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:dem|that~cop|be&3S] [n|right .],,,,,,,,,,MotherofLily_Lily030927a_9
10,CameraOperator,Lily030927a,xxx ?,Lily,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofLily_Lily030927a_10
11,Lily,Lily030927a,we'll dress up as a rose and a hibiscus and a lily and a daisy .,Lily,17.861,27.215,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT] [5|3|JCT] [6|7|DET] [7|5|POBJ] [8|3|CONJ] [9|10|DET] [10|8|COORD] [11|10|CONJ] [12|13|DET] [13|11|COORD] [14|13|CONJ] [15|16|DET] [16|14|COORD 17|3|PUNCT],[pro:sub|we~mod|will] [v|dress] [adv|up] [prep|as] [det:art|a] [n|rose] [coord|and] [det:art|a] [n|hibiscus] [coord|and] [det:art|a] [n|lily] [coord|and] [det:art|a] [n|daisy .],,,,,,,,,,LilyofLily_Lily030927a_11
12,CameraOperator,Lily030927a,xxx .,Lily,0.0,0.0,laughs,[],[],,,,,,,,,,CameraOperatorofLily_Lily030927a_12
13,Mother,Lily030927a,oh my gosh .,Lily,0.0,0.0,[],[1|3|COM] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[co|oh] [det:poss|my] [co|gosh .],,,,,,,,,,MotherofLily_Lily030927a_13
14,Mother,Lily030927a,great .,Lily,27.215,28.613,[],[1|0|INCROOT 2|1|PUNCT],[adj|great .],,,,,,,,,,MotherofLily_Lily030927a_14
15,Mother,Lily030927a,"we haven't been to Baltimore , actually , in a good long while .",Lily,28.613,31.573,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|4|JCT] [6|5|POBJ 7|6|LP] [8|4|JCT 9|8|LP] [10|4|JCT] [11|14|DET] [12|14|MOD] [13|14|MOD] [14|10|POBJ 15|4|PUNCT],[pro:sub|we] [aux|have~neg|not] [cop|be&PASTP] [prep|to] [n:prop|Baltimore cm|cm] [adv|actual&dadj-LY cm|cm] [prep|in] [det:art|a] [adj|good] [adj|long] [n|while .],,,,,,,,,,MotherofLily_Lily030927a_15
16,Mother,Lily030927a,trying to think of when the last time was we were down there .,Lily,31.573,34.085,[],[1|0|INCROOT] [2|3|INF] [3|1|XCOMP] [4|3|JCT] [5|9|LINK] [6|8|DET] [7|8|MOD] [8|9|SUBJ] [9|1|CJCT] [10|12|SUBJ] [11|12|AUX] [12|9|JCT] [13|12|JCT 14|1|PUNCT],[part|try-PRESP] [inf|to] [v|think] [prep|of] [conj|when] [det:art|the] [adj|last] [n|time] [cop|be&PAST&13S] [pro:sub|we] [aux|be&PAST] [adv|down] [adv|there .],,,,,,,,,,MotherofLily_Lily030927a_16
17,Mother,Lily030927a,but &-um (t:t:self interruption),Lily,34.085,35.15,[],[1|0|INCROOT] [2|1|PUNCT],[conj|but] [(mt:self interruption)],,,,,,,,,,MotherofLily_Lily030927a_17
18,Mother,Lily030927a,but it reminds me kind of a xxx (t:t:self interruption),Lily,35.15,36.33,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|3|OBJ] [6|5|NJCT] [7|6|POBJ] [8|3|PUNCT],[conj|but] [pro:per|it] [v|remind-3S] [pro:obj|me] [n|kind] [prep|of] [det:art|a] [(mt:self interruption)],,,,,,,,,,MotherofLily_Lily030927a_18
19,Mother,Lily030927a,"you know , it's a city but it's not .",Lily,36.33,41.8,[],[1|2|SUBJ] [2|0|ROOT 3|2|LP] [4|5|SUBJ 5|2|COMP] [6|7|DET] [7|5|PRED] [8|10|LINK] [9|10|SUBJ 10|7|XMOD] [11|10|NEG 12|2|PUNCT],[pro:per|you] [v|know cm|cm] [pro:per|it~cop|be&3S] [det:art|a] [n|city] [conj|but] [pro:per|it~cop|be&3S] [neg|not .],,,,,,,,,,MotherofLily_Lily030927a_19
20,CameraOperator,Lily030927a,it's a small city .,Lily,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT] [3|5|DET] [4|5|MOD] [5|2|PRED 6|2|PUNCT],[pro:per|it~cop|be&3S] [det:art|a] [adj|small] [n|city .],,,,,,,,,,CameraOperatorofLily_Lily030927a_20
21,Mother,Lily030927a,"yeah , and it's got suburbs .",Lily,0.0,0.0,[],[1|6|COM 2|1|LP] [3|6|LINK] [4|5|SUBJ 5|6|SUBJ] [6|0|ROOT] [7|6|OBJ 8|6|PUNCT],[co|yeah cm|cm] [coord|and] [pro:per|it~cop|be&3S] [v|get&PAST] [n|suburb-PL .],,,,,,,,,,MotherofLily_Lily030927a_21
22,CameraOperator,Lily030927a,xxx get lost in there .,Lily,0.0,0.0,[],[] [1|2|AUX] [2|0|ROOT] [3|2|JCT] [4|3|POBJ 5|2|PUNCT],[] [aux|get] [part|lose&PASTP] [prep|in] [adv|there .],,,,,,,,,,CameraOperatorofLily_Lily030927a_22
23,Mother,Lily030927a,yeah exactly .,Lily,0.0,0.0,[],[1|0|INCROOT] [2|1|JCT 3|1|PUNCT],[co|yeah] [adv|exact&dadj-LY .],,,,,,,,,,MotherofLily_Lily030927a_23
24,Mother,Lily030927a,"ex<actly> , you can walk from one end of it to the other .",Lily,0.0,0.0,[],[1|5|JCT 2|1|LP] [3|5|SUBJ] [4|5|AUX] [5|0|ROOT] [6|5|JCT] [7|8|QUANT] [8|6|POBJ] [9|8|NJCT] [10|9|POBJ] [11|10|JCT] [12|13|DET] [13|11|POBJ 14|5|PUNCT],[adv|exact&dadj-LY cm|cm] [pro:per|you] [mod|can] [v|walk] [prep|from] [det:num|one] [n|end] [prep|of] [pro:per|it] [prep|to] [det:art|the] [qn|other .],,,,,,,,,,MotherofLily_Lily030927a_24
25,CameraOperator,Lily030927a,"yeah , I think it's a little (t:t:self interruption)",Lily,0.0,0.0,[],[1|4|COM 2|1|LP] [3|4|SUBJ] [4|0|ROOT] [5|6|SUBJ 6|4|COMP] [7|8|DET] [8|6|PRED 9|4|PUNCT],[co|yeah cm|cm] [pro:sub|I] [v|think] [pro:per|it~cop|be&3S] [det:art|a] [adj|little (mt:self interruption)],,,,,,,,,,CameraOperatorofLily_Lily030927a_25
26,CameraOperator,Lily030927a,like I don't get as scared (t:t:self interruption),Lily,0.0,0.0,[],[1|5|LINK] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|5|JCT] [7|5|XJCT 8|5|PUNCT],[conj|like] [pro:sub|I] [mod|do~neg|not] [v|get] [adv|as] [part|scare-PASTP (mt:self interruption)],,,,,,,,,,CameraOperatorofLily_Lily030927a_26
27,CameraOperator,Lily030927a,I live in downtown Providence .,Lily,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|3|POBJ] [5|2|XJCT 6|2|PUNCT],[pro:sub|I] [v|live] [prep|in] [n|downtown] [n:prop|Providence .],,,,,,,,,,CameraOperatorofLily_Lily030927a_27
28,Lily,Lily030927a,read stone { soup (?) } .,Lily,41.8,49.578,[],[1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[v|read&ZERO] [n|stone] [n|soup .],,,,,,,,,,LilyofLily_Lily030927a_28
29,Mother,Lily030927a,uhhuh .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|uhhuh .],,,,,,,,,,MotherofLily_Lily030927a_29
30,CameraOperator,Lily030927a,I don't xxx as freaked out .,Lily,0.0,0.0,[],[1|5|SUBJ] [2|5|AUX 3|2|NEG] [] [4|5|JCT] [5|0|ROOT] [6|5|JCT 7|5|PUNCT],[pro:sub|I] [mod|do~neg|not] [] [adv|as] [part|freak-PASTP] [adv|out .],,,,,,,,,,CameraOperatorofLily_Lily030927a_30
31,Mother,Lily030927a,"where in , where downtown do you live ?",Lily,0.0,0.0,[],[1|4|LINK] [2|4|JCT 3|2|LP] [4|6|LINK] [5|6|JCT] [6|0|ROOT] [7|6|OBJ] [8|6|XCOMP 9|6|PUNCT],[adv:int|where] [adv|in cm|cm] [pro:rel|where] [adv|downtown] [v|do] [pro:per|you] [v|live ?],,,,,,,,,,MotherofLily_Lily030927a_31
32,CameraOperator,Lily030927a,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofLily_Lily030927a_32
33,Lily,Lily030927a,read stone soup .,Lily,49.67,53.09,[],[1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[v|read&ZERO] [n|stone] [n|soup .],,,,,,,,,,LilyofLily_Lily030927a_33
34,CameraOperator,Lily030927a,right off Kennedy plaza .,Lily,0.0,0.0,[],[1|0|INCROOT] [2|1|JCT] [3|4|MOD] [4|2|POBJ 5|1|PUNCT],[adv|right] [prep|off] [n:prop|Kennedy] [n|plaza .],,,,,,,,,,CameraOperatorofLily_Lily030927a_34
35,Mother,Lily030927a,oh yeah yeah .,Lily,0.0,0.0,[],[1|3|COM] [2|3|COM] [3|0|INCROOT 4|3|PUNCT],[co|oh] [co|yeah] [co|yeah .],,,,,,,,,,MotherofLily_Lily030927a_35
36,Lily,Lily030927a,read yummy stone soup .,Lily,53.108,62.75,[],[1|0|ROOT] [2|4|MOD] [3|4|MOD] [4|1|OBJ 5|1|PUNCT],[v|read&ZERO] [adj|yum&dn-Y] [n|stone] [n|soup .],,,,,,,,,,LilyofLily_Lily030927a_36
37,CameraOperator,Lily030927a,it's like right in the middle of downtown .,Lily,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED] [4|3|OBJ] [5|4|NJCT] [6|7|DET] [7|5|POBJ] [8|7|NJCT] [9|8|POBJ 10|2|PUNCT],[pro:per|it~cop|be&3S] [conj|like] [n|right] [prep|in] [det:art|the] [n|middle] [prep|of] [n|downtown .],,,,,,,,,,CameraOperatorofLily_Lily030927a_37
38,Mother,Lily030927a,mhm .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|yes .],,,,,,,,,,MotherofLily_Lily030927a_38
39,CameraOperator,Lily030927a,"but in Baltimore , like when I was a kid there { was (= were) } always places we weren't allowed to go .",Lily,0.0,0.0,[],[1|8|LINK] [2|1|JCT] [3|2|POBJ 4|1|LP] [5|1|COM] [6|8|LINK] [7|8|SUBJ] [8|0|ROOT] [9|10|DET] [10|14|SUBJ] [11|10|NJCT] [12|14|AUX] [13|14|JCT] [14|8|PRED] [15|18|SUBJ] [16|18|AUX 17|16|NEG] [18|14|XMOD] [19|20|INF] [20|18|XCOMP 21|8|PUNCT],[conj|but] [prep|in] [n:prop|Baltimore cm|cm] [co|like] [conj|when] [pro:sub|I] [cop|be&PAST&13S] [det:art|a] [n|kid] [adv|there] [cop|be&PAST&13S] [adv|always] [n|place-PL] [pro:sub|we] [aux|be&PAST~neg|not] [part|allow-PASTP] [inf|to] [v|go .],,,,,,,,,,CameraOperatorofLily_Lily030927a_39
40,Lily,Lily030927a,read stone soup .,Lily,0.0,0.0,[],[1|0|ROOT] [2|3|MOD] [3|1|OBJ 4|1|PUNCT],[v|read&ZERO] [n|stone] [n|soup .],,,,,,,,,,LilyofLily_Lily030927a_40
41,CameraOperator,Lily030927a,like areas where we weren't supposed to go to .,Lily,0.0,0.0,[],[1|0|INCROOT] [2|1|POBJ] [3|7|LINK] [4|7|SUBJ] [5|7|AUX 6|5|NEG] [7|2|CMOD] [8|9|INF] [9|7|XCOMP] [10|9|JCT 11|1|PUNCT],[prep|like] [n|area-PL] [pro:rel|where] [pro:sub|we] [aux|be&PAST~neg|not] [part|suppose-PASTP] [inf|to] [v|go] [prep|to .],,,,,,,,,,CameraOperatorofLily_Lily030927a_41
42,Lily,Lily030927a,read yummy yummy yummy yummy .,Lily,0.0,0.0,[],[1|0|ROOT] [2|5|MOD] [3|5|MOD] [4|5|MOD] [5|1|JCT 6|1|PUNCT],[v|read&ZERO] [adj|yum&dn-Y] [adj|yum&dn-Y] [adj|yum&dn-Y] [adj|yum&dn-Y .],,,,,,,,,,LilyofLily_Lily030927a_42
43,Mother,Lily030927a,right .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|right .],,,,,,,,,,MotherofLily_Lily030927a_43
44,Mother,Lily030927a,right right .,Lily,0.0,0.0,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|right] [n|right .],,,,,,,,,,MotherofLily_Lily030927a_44
45,Lily,Lily030927a,xxx xxx .,Lily,62.75,70.71000000000001,[],[],[],,,,,,,,,,LilyofLily_Lily030927a_45
46,Mother,Lily030927a,"there's , I mean we used to walk down from campus to the inner harbor , and definitely you'd (replacement:replacement:you would) like , you'd (replacement:replacement:you would) have several blocks where you'd (replacement:replacement:you would) be like , hm: , you know .",Lily,0.0,0.0,[],[1|2|SUBJ 2|0|ROOT 3|2|LP] [4|7|SUBJ] [5|7|JCT] [6|7|SUBJ] [7|2|CJCT] [8|9|INF] [9|7|XCOMP] [10|9|JCT] [11|9|JCT] [12|11|POBJ] [13|12|NJCT] [14|16|DET] [15|16|MOD] [16|13|POBJ 17|9|LP] [18|7|CONJ] [19|26|JCT] [20|26|SUBJ 21|26|AUX] [22|26|JCT 23|22|LP] [24|26|SUBJ 25|26|AUX] [26|18|COORD] [27|28|QUANT] [28|26|OBJ] [29|32|LINK] [30|32|SUBJ 31|32|AUX] [32|28|CMOD] [33|32|JCT 34|33|LP] [35|38|COM 36|35|LP] [37|38|SUBJ] [38|33|ENUM 39|2|PUNCT],[pro:exist|there~cop|be&3S cm|cm] [pro:sub|I] [adj|mean] [pro:sub|we] [v|use-PAST] [inf|to] [v|walk] [adv|down] [prep|from] [n|campus] [prep|to] [det:art|the] [adj|inner] [n|harbor cm|cm] [coord|and] [adv|definite&dadj-LY] [pro:per|you mod|will&COND] [prep|like cm|cm] [pro:per|you mod|will&COND] [v|have] [qn|several] [n|block-PL] [adv:int|where] [pro:per|you mod|will&COND] [cop|be] [prep|like cm|cm] [co|hm cm|cm] [pro:per|you] [v|know .],,,,,,,,,,MotherofLily_Lily030927a_46
47,CameraOperator,Lily030927a,"xxx a little , xxx .",Lily,0.0,0.0,laughs,[] [1|2|DET] [2|0|INCROOT 3|2|LP] [4|2|PUNCT],[] [det:art|a] [adj|little cm|cm] [.],,,,,,,,,,CameraOperatorofLily_Lily030927a_47
48,Lily,Lily030927a,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,LilyofLily_Lily030927a_48
49,CameraOperator,Lily030927a,yup (replacement:replacement:yes) xxx .,Lily,0.0,0.0,laughs,[1|0|INCROOT] [2|1|PUNCT],[co|yes] [.],,,,,,,,,,CameraOperatorofLily_Lily030927a_49
