Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Naima010921,I will be hooking up the receiver shortly .,Naima,0.0,4.74,[],[1|4|SUBJ] [2|4|AUX] [3|4|AUX] [4|0|ROOT] [5|4|JCT] [6|7|DET] [7|5|POBJ] [8|4|JCT 9|4|PUNCT],[pro:sub|I] [mod|will] [aux|be] [part|hook-PRESP] [prep|up] [det:art|the] [n|receive&dv-AGT] [adv|short&dadj-LY .],,,,,,,,,,MotherofNaima_Naima010921_1
2,Mother,Naima010921,and I thought we can have head start .,Naima,0.0,0.0,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|6|SUBJ] [5|6|AUX] [6|3|COMP] [7|8|SUBJ] [8|6|COMP 9|3|PUNCT],[coord|and] [pro:sub|I] [v|think&PAST] [pro:sub|we] [mod|can] [v|have] [n|head] [v|start .],,,,,,,,,,MotherofNaima_Naima010921_2
3,Naima,Naima010921,look look for banana with us .,Naima,4.74,8.695,[],[1|2|COM] [2|0|ROOT] [3|2|JCT] [4|3|POBJ] [5|4|NJCT] [6|5|POBJ 7|2|PUNCT],[co|look] [v|look] [prep|for] [n|banana] [prep|with] [pro:obj|us .],,,,,,,,,,NaimaofNaima_Naima010921_3
4,Mother,Naima010921,what you gonna eat the frozen banana with ?,Naima,8.695,13.83,[],[1|4|LINK] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|7|DET] [6|7|MOD] [7|4|OBJ] [8|7|NJCT 9|4|PUNCT],[pro:int|what] [pro:per|you] [mod:aux|gonna] [v|eat] [det:art|the] [part|freeze&PASTP] [n|banana] [prep|with ?],,,,,,,,,,MotherofNaima_Naima010921_4
5,Mother,Naima010921,with puffed rice .,Naima,13.83,15.75,[],[1|0|INCROOT] [2|3|MOD] [3|1|POBJ 4|1|PUNCT],[prep|with] [part|puff-PASTP] [n|rice .],,,,,,,,,,MotherofNaima_Naima010921_5
6,Naima,Naima010921,no .,Naima,15.75,16.84,[],[1|0|INCROOT 2|1|PUNCT],[co|no .],,,,,,,,,,NaimaofNaima_Naima010921_6
7,Mother,Naima010921,no .,Naima,16.84,19.735,[],[1|0|INCROOT 2|1|PUNCT],[co|no .],,,,,,,,,,MotherofNaima_Naima010921_7
8,Naima,Naima010921,it fell out the other day .,Naima,19.735,21.825,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|6|DET] [5|6|QUANT] [6|3|POBJ 7|2|PUNCT],[pro:per|it] [v|fall&PAST] [prep|out] [det:art|the] [qn|other] [n|day .],,,,,,,,,,NaimaofNaima_Naima010921_8
9,Mother,Naima010921,just puff .,Naima,0.0,0.0,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[adj|just] [n|puff .],,,,,,,,,,MotherofNaima_Naima010921_9
10,Mother,Naima010921,it did fall out the other day .,Naima,21.826,23.765,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|2|JCT] [5|7|DET] [6|7|QUANT] [7|2|JCT 8|2|PUNCT],[pro:per|it] [v|do&PAST] [v|fall] [prep|out] [det:art|the] [qn|other] [n|day .],,,,,,,,,,MotherofNaima_Naima010921_10
