Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Naima011027,xxx some batteries here .,Naima,0.0,1.628,[],[] [1|2|QUANT] [2|0|INCROOT] [3|2|JCT 4|2|PUNCT],[] [qn|some] [n|battery-PL] [adv|here .],,,,,,,,,,MotherofNaima_Naima011027_1
2,Mother,Naima011027,I now have .,Naima,1.628,5.11,[],[1|3|SUBJ] [2|3|JCT] [3|0|ROOT 4|3|PUNCT],[pro:sub|I] [adv|now] [v|have .],,,,,,,,,,MotherofNaima_Naima011027_2
3,Mother,Naima011027,old batteries and both transmitters .,Naima,5.11,8.86,[],[1|2|MOD] [2|0|INCROOT] [3|2|CONJ] [4|5|QUANT] [5|3|COORD 6|2|PUNCT],[adj|old] [n|battery-PL] [coord|and] [qn|both] [n|transmit&dv-AGT-PL .],,,,,,,,,,MotherofNaima_Naima011027_3
4,Mother,Naima011027,and the new battery and the receiver to see if that is what was causing the (t:t:trail off),Naima,8.86,13.023,[],[1|0|INCROOT] [2|4|DET] [3|4|MOD] [4|1|COORD] [5|4|CONJ] [6|7|DET] [7|5|COORD] [8|9|INF] [9|7|XMOD] [10|12|LINK] [11|12|SUBJ] [12|9|CJCT] [13|15|SUBJ] [14|15|AUX] [15|12|PRED] [16|15|OBJ 17|1|PUNCT],[coord|and] [det:art|the] [adj|new] [n|battery] [coord|and] [det:art|the] [n|receive&dv-AGT] [inf|to] [v|see] [conj|if] [pro:dem|that] [cop|be&3S] [pro:int|what] [aux|be&PAST&13S] [part|cause-PRESP] [det:art|the (mt:trail off)],,,,,,,,,,MotherofNaima_Naima011027_4
5,Mother,Naima011027,buzzing noise and I am speaking into the yyy .,Naima,13.023,18.021,ˈɛfˈwʌn@u[],[1|2|MOD] [2|0|INCROOT] [3|6|LINK] [4|6|SUBJ] [5|6|AUX] [6|2|CJCT] [7|6|JCT] [8|7|POBJ] [9|2|PUNCT],[part|buzz-PRESP] [n|noise] [coord|and] [pro:sub|I] [aux|be&1S] [part|speak-PRESP] [prep|into] [det:art|the] [.],,,,,,,,,,MotherofNaima_Naima011027_5
6,Naima,Naima011027,yyy .,Naima,18.021,19.045,[],[],[],,,,,,,,,,NaimaofNaima_Naima011027_6
7,Mother,Naima011027,yyy the green hair elastic on it yyy .,Naima,19.045,21.716,[],[] [1|3|DET] [2|3|MOD] [3|0|INCROOT] [4|3|XMOD] [5|4|JCT] [6|5|POBJ] [7|3|PUNCT],[] [det:art|the] [n|green] [n|hair] [adj|elastic] [prep|on] [pro:per|it] [.],,,,,,,,,,MotherofNaima_Naima011027_7
8,Mother,Naima011027,careful with that Naima .,Naima,21.716,23.348,[],[1|0|INCROOT] [2|1|JCT] [3|2|POBJ] [4|3|APP 5|1|PUNCT],[co|careful] [prep|with] [det:dem|that] [n:prop|Naima .],,,,,,,,,,MotherofNaima_Naima011027_8
9,Mother,Naima011027,"don't touch , okay ?",Naima,23.348,25.276,[],[1|3|AUX 2|1|NEG] [3|0|ROOT 4|3|LP] [5|3|COM 6|3|PUNCT],[mod|do~neg|not] [v|touch cm|cm] [co|okay ?],,,,,,,,,,MotherofNaima_Naima011027_9
10,Naima,Naima011027,yyy yyy yyy .,Naima,25.276,27.5,[],[],[],,,,,,,,,,NaimaofNaima_Naima011027_10
