Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Alex020326,xxx .,Alex,0.0,2.078,[],[],[],,,,,,,,,,MotherofAlex_Alex020326_1
2,Mother,Alex020326,we took him roller+skating a couple Fridays ago .,Alex,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|XJCT] [5|6|DET] [6|4|OBJ] [7|4|XJCT] [8|7|JCT 9|2|PUNCT],[pro:sub|we] [v|take&PAST] [pro:obj|him] [part|+n|roller+n|skate-PRESP] [det:art|a] [n|couple] [n:prop|Fridays] [adv|ago .],,,,,,,,,,MotherofAlex_Alex020326_2
3,CameraOperator,Alex020326,"oh , really ?",Alex,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|JCT 4|1|PUNCT],[co|oh cm|cm] [adv|real&dadj-LY ?],,,,,,,,,,CameraOperatorofAlex_Alex020326_3
4,Alex,Alex020326,{ cars (?) } yyy .,Alex,5.0,11.705,[],[1|0|INCROOT] [2|1|PUNCT],[n|car-PL] [.],,,,,,,,,,AlexofAlex_Alex020326_4
5,Mother,Alex020326,"xxx well he's playing the games now , but (t:t:trail off)",Alex,0.0,0.0,[],[] [1|4|COM] [2|4|SUBJ 3|4|AUX] [4|0|ROOT] [5|6|DET] [6|4|OBJ] [7|4|JCT 8|7|LP] [9|4|OM 10|4|PUNCT],[] [co|well] [pro:sub|he~aux|be&3S] [part|play-PRESP] [det:art|the] [n|game-PL] [adv|now cm|cm] [conj|but (mt:trail off)],,,,,,,,,,MotherofAlex_Alex020326_5
6,Mother,Alex020326,xxx you're so cute .,Alex,11.706,14.173,laughter .[],[] [1|2|SUBJ 2|0|ROOT] [3|4|JCT] [4|2|PRED 5|2|PUNCT],[] [pro:per|you~aux|be&PRES] [adv|so] [adj|cute .],,,,,,,,,,MotherofAlex_Alex020326_6
7,Mother,Alex020326,I'm tryin (replacement:replacement:trying) to keep him in the middle of the (t:t:self interruption),Alex,14.173,20.561,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|OBJ] [7|5|JCT] [8|9|DET] [9|7|POBJ] [10|9|NJCT] [11|10|POBJ 12|3|PUNCT],[pro:sub|I~aux|be&1S] [part|try-PRESP] [inf|to] [v|keep] [pro:obj|him] [prep|in] [det:art|the] [n|middle] [prep|of] [det:art|the (mt:self interruption)],,,,,,,,,,MotherofAlex_Alex020326_7
8,Mother,Alex020326,"on the rug , but he wants to go out where they're , like , flying around in circles , xxx , oh no .",Alex,0.0,0.0,laughter,[1|0|INCROOT] [2|3|DET] [3|1|POBJ 4|3|LP] [5|7|LINK] [6|7|SUBJ] [7|1|CJCT] [8|9|INF] [9|7|XCOMP] [10|9|JCT] [11|13|LINK] [12|13|SUBJ 13|9|COMP 14|13|LP] [15|13|JCT 16|15|POBJ] [17|13|XJCT] [18|17|JCT] [19|17|JCT] [20|19|POBJ 21|17|LP] [22|17|LP] [23|24|COM] [24|17|ENUM 25|1|PUNCT],[prep|on] [det:art|the] [n|rug cm|cm] [conj|but] [pro:sub|he] [v|want-3S] [inf|to] [v|go] [adv|out] [adv:int|where] [pro:sub|they~cop|be&PRES cm|cm] [prep|like cm|cm] [part|fly-PRESP] [adv|around] [prep|in] [n|circle-PL cm|cm] [cm|cm] [co|oh] [co|no .],,,,,,,,,,MotherofAlex_Alex020326_8
9,CameraOperator,Alex020326,soon enough .,Alex,20.561,22.516,[],[1|2|JCT] [2|0|INCROOT 3|2|PUNCT],[adv|soon] [adv|enough .],,,,,,,,,,CameraOperatorofAlex_Alex020326_9
10,Mother,Alex020326,"oh , I know .",Alex,22.518,23.581,[],[1|4|COM 2|1|LP] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[co|oh cm|cm] [pro:sub|I] [v|know .],,,,,,,,,,MotherofAlex_Alex020326_10
