Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Lily030927b,putting her shirt on .,Lily,0.0,1.083,[],[1|0|INCROOT] [2|3|MOD] [3|1|OBJ] [4|1|JCT 5|1|PUNCT],[part|put-PRESP] [det:poss|her] [n|shirt] [adv|on .],,,,,,,,,,MotherofLily_Lily030927b_1
2,Lily,Lily030927b,whoa !,Lily,1.081,2.351,[],[1|0|INCROOT 2|1|PUNCT],[co|whoa !],,,,,,,,,,LilyofLily_Lily030927b_2
3,Mother,Lily030927b,whoa !,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|whoa !],,,,,,,,,,MotherofLily_Lily030927b_3
4,Mother,Lily030927b,that's not nice Mommy !,Lily,2.351,4.1,[],[1|2|SUBJ 2|0|ROOT] [3|2|NEG] [4|5|MOD] [5|2|PRED 6|2|PUNCT],[pro:dem|that~cop|be&3S] [neg|not] [adj|nice] [n:prop|Mommy !],,,,,,,,,,MotherofLily_Lily030927b_4
5,Mother,Lily030927b,don't do that !,Lily,4.1,5.265,[],[1|3|AUX 2|1|NEG] [3|0|ROOT] [4|3|OBJ 5|3|PUNCT],[mod|do~neg|not] [v|do] [pro:dem|that !],,,,,,,,,,MotherofLily_Lily030927b_5
6,Mother,Lily030927b,that's not nice Mommy !,Lily,5.265,6.903,imitating CHI,[1|2|SUBJ 2|0|ROOT] [3|2|NEG] [4|5|MOD] [5|2|PRED 6|2|PUNCT],[pro:dem|that~cop|be&3S] [neg|not] [adj|nice] [n:prop|Mommy !],,,,,,,,,,MotherofLily_Lily030927b_6
7,CameraOperator,Lily030927b,xxx .,Lily,0.0,0.0,laughter,[],[],,,,,,,,,,CameraOperatorofLily_Lily030927b_7
8,Mother,Lily030927b,sor<ry> .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|sorry .],,,,,,,,,,MotherofLily_Lily030927b_8
9,Lily,Lily030927b,can I have my butterflies on ?,Lily,6.903,11.481,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|MOD] [5|3|OBJ] [6|3|JCT 7|3|PUNCT],[mod|can] [pro:sub|I] [v|have] [det:poss|my] [n|+n|butter+n|fly-PL] [adv|on ?],,,,,,,,,,LilyofLily_Lily030927b_9
10,Mother,Lily030927b,your butterfly wings on you (t:t:self interruption),Lily,11.481,14.095,[],[1|2|MOD] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT] [5|4|POBJ 6|3|PUNCT],[det:poss|your] [n|+n|butter+n|fly] [v|wing-3S] [prep|on] [pro:per|you (mt:self interruption)],,,,,,,,,,MotherofLily_Lily030927b_10
11,Mother,Lily030927b,<o>kay hang on .,Lily,0.0,0.0,[],[1|2|COM] [2|0|ROOT] [3|2|JCT 4|2|PUNCT],[co|okay] [v|hang] [adv|on .],,,,,,,,,,MotherofLily_Lily030927b_11
12,Mother,Lily030927b,I'll put it on in a second .,Lily,14.095,15.105,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|OBJ] [5|3|JCT] [6|3|JCT] [7|8|DET] [8|6|POBJ 9|3|PUNCT],[pro:sub|I~mod|will] [v|put&ZERO] [pro:per|it] [adv|on] [prep|in] [det:art|a] [n|second .],,,,,,,,,,MotherofLily_Lily030927b_12
13,Mother,Lily030927b,hang on .,Lily,15.105,15.945,[],[1|0|ROOT] [2|1|JCT 3|1|PUNCT],[v|hang] [adv|on .],,,,,,,,,,MotherofLily_Lily030927b_13
14,Mother,Lily030927b,keep your backpack on I'll put your butterfly wings over your backpack .,Lily,15.945,25.568,[],[1|0|ROOT] [2|3|MOD] [3|1|OBJ] [4|1|JCT] [5|7|SUBJ 6|7|AUX] [7|1|COMP] [8|9|MOD] [9|10|SUBJ] [10|7|COMP] [11|10|JCT] [12|13|MOD] [13|11|POBJ 14|1|PUNCT],[v|keep] [det:poss|your] [n|+n|back+n|pack] [adv|on] [pro:sub|I~mod|will] [v|put&ZERO] [det:poss|your] [n|+n|butter+n|fly] [v|wing-3S] [prep|over] [det:poss|your] [n|+n|back+n|pack .],,,,,,,,,,MotherofLily_Lily030927b_14
15,CameraOperator,Lily030927b,xxx later .,Lily,25.568,27.33,[],[] [1|0|INCROOT 2|1|PUNCT],[] [adv|later .],,,,,,,,,,CameraOperatorofLily_Lily030927b_15
16,Mother,Lily030927b,xxx .,Lily,0.0,0.0,gasp,[],[],,,,,,,,,,MotherofLily_Lily030927b_16
17,Mother,Lily030927b,Amanda's (replacement:replacement:Amanda is) going to sit in the green room .,Lily,27.331,28.991,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|JCT] [7|9|DET] [8|9|MOD] [9|6|POBJ 10|3|PUNCT],[n:prop|Amanda aux|be&3S] [part|go-PRESP] [inf|to] [v|sit] [prep|in] [det:art|the] [n|green] [n|room .],,,,,,,,,,MotherofLily_Lily030927b_17
18,Lily,Lily030927b,I want to .,Lily,28.991,31.13,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT 4|2|PUNCT],[pro:sub|I] [v|want] [prep|to .],,,,,,,,,,LilyofLily_Lily030927b_18
19,Mother,Lily030927b,"ah , xxx .",Lily,0.0,0.0,laughter,[1|0|INCROOT 2|1|LP] [3|1|PUNCT],[co|ah cm|cm] [.],,,,,,,,,,MotherofLily_Lily030927b_19
20,CameraOperator,Lily030927b,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofLily_Lily030927b_20
21,Mother,Lily030927b,she's gonna go wherever you go .,Lily,31.13,32.674,[],[1|4|SUBJ 2|4|AUX] [3|4|AUX] [4|0|ROOT] [5|7|LINK] [6|7|SUBJ] [7|4|COMP 8|4|PUNCT],[pro:sub|she~aux|be&3S] [mod:aux|gonna] [v|go] [adv:int|wherever] [pro:per|you] [v|go .],,,,,,,,,,MotherofLily_Lily030927b_21
22,CameraOperator,Lily030927b,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofLily_Lily030927b_22
23,Mother,Lily030927b,xxx .,Lily,32.675,34.12,laughter,[],[],,,,,,,,,,MotherofLily_Lily030927b_23
24,CameraOperator,Lily030927b,you go (t:t:self interruption),Lily,34.12,37.641,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:per|you] [v|go (mt:self interruption)],,,,,,,,,,CameraOperatorofLily_Lily030927b_24
25,CameraOperator,Lily030927b,you go talk in front of the camera okay ?,Lily,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|JCT] [5|4|POBJ] [6|5|NJCT] [7|8|DET] [8|6|POBJ] [9|2|JCT 10|2|PUNCT],[pro:per|you] [v|go] [n|talk] [prep|in] [n|front] [prep|of] [det:art|the] [n|camera] [adj|okay ?],,,,,,,,,,CameraOperatorofLily_Lily030927b_25
26,CameraOperator,Lily030927b,so we can see you later .,Lily,37.641,39.21,[],[1|4|COM] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|4|OBJ] [6|4|JCT 7|4|PUNCT],[co|so] [pro:sub|we] [mod|can] [v|see] [pro:per|you] [adv|later .],,,,,,,,,,CameraOperatorofLily_Lily030927b_26
27,CameraOperator,Lily030927b,okay ?,Lily,39.21,40.946,[],[1|0|INCROOT 2|1|PUNCT],[co|okay ?],,,,,,,,,,CameraOperatorofLily_Lily030927b_27
28,Mother,Lily030927b,xxx .,Lily,0.0,0.0,laughter,[],[],,,,,,,,,,MotherofLily_Lily030927b_28
29,CameraOperator,Lily030927b,xxx .,Lily,40.946,42.283,laughter,[],[],,,,,,,,,,CameraOperatorofLily_Lily030927b_29
30,Mother,Lily030927b,you want me to put your wings on Sweets ?,Lily,42.283,43.856,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|5|INF] [5|2|XCOMP] [6|7|MOD] [7|5|OBJ] [8|5|JCT] [9|8|POBJ 10|2|PUNCT],[pro:per|you] [v|want] [pro:obj|me] [inf|to] [v|put&ZERO] [det:poss|your] [n|wing-PL] [prep|on] [n:prop|Sweets ?],,,,,,,,,,MotherofLily_Lily030927b_30
31,Lily,Lily030927b,okay .,Lily,43.856,44.818,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,LilyofLily_Lily030927b_31
32,Mother,Lily030927b,o:ne .,Lily,44.818,50.755,[],[1|0|INCROOT 2|1|PUNCT],[pro:indef|one .],,,,,,,,,,MotherofLily_Lily030927b_32
33,Lily,Lily030927b,two .,Lily,50.755,53.283,[],[1|0|INCROOT 2|1|PUNCT],[det:num|two .],,,,,,,,,,LilyofLily_Lily030927b_33
